supplier_id,country,supplier_name,avg_temperature_celsius,rainfall_mm_per_year,extreme_events_per_year,cost_per_unit_usd,lead_time_days,quality_score,reliability_score,climate_risk_level
1,Brazil,Brazil_Supplier_1,23.0,1760.57,4.0,4.8,37,0.692,0.747,Low
2,Brazil,Brazil_Supplier_2,21.47,1243.39,4.0,3.94,32,0.897,0.777,Low
3,Brazil,Brazil_Supplier_3,21.6,1411.39,3.0,3.6,43,0.69,0.771,Low
4,Brazil,Brazil_Supplier_4,25.47,1352.12,2.0,4.86,30,0.623,0.909,Low
5,Brazil,Brazil_Supplier_5,24.16,1437.37,7.0,3.79,25,0.649,0.642,Low
6,Brazil,Brazil_Supplier_6,22.17,1662.99,4.0,3.61,44,0.682,0.861,Low
7,Brazil,Brazil_Supplier_7,20.04,1652.37,5.0,4.79,37,0.702,0.781,Low
8,Brazil,Brazil_Supplier_8,22.49,1260.15,8.0,4.24,35,0.71,0.794,Medium
9,Brazil,Brazil_Supplier_9,20.86,1025.14,7.0,3.62,30,0.8,0.916,Low
10,Brazil,Brazil_Supplier_10,26.97,1642.94,6.0,3.84,33,0.78,0.826,Medium
11,Brazil,Brazil_Supplier_11,20.06,1408.6,3.0,4.91,31,0.939,0.817,Low
12,Brazil,Brazil_Supplier_12,22.91,1777.43,5.0,4.41,35,0.731,0.83,Low
13,Brazil,Brazil_Supplier_13,21.16,1391.56,7.0,4.45,35,0.651,0.743,Low
14,Brazil,Brazil_Supplier_14,20.33,1472.71,2.0,3.84,37,0.804,0.709,Low
15,Brazil,Brazil_Supplier_15,23.09,1749.38,2.0,4.89,42,0.831,0.677,Low
16,Brazil,Brazil_Supplier_16,26.54,1444.16,5.0,4.01,31,0.802,0.83,Medium
17,Brazil,Brazil_Supplier_17,27.1,1623.9,4.0,3.51,27,0.767,0.678,Medium
18,Brazil,Brazil_Supplier_18,25.54,1521.57,5.0,4.77,38,0.663,0.815,Low
19,Brazil,Brazil_Supplier_19,22.94,1212.16,8.0,3.79,39,0.643,0.848,Medium
20,Brazil,Brazil_Supplier_20,27.52,1763.14,2.0,4.89,33,0.705,0.878,Medium
21,Brazil,Brazil_Supplier_21,23.08,1680.91,6.0,4.42,44,0.756,0.686,Low
22,Brazil,Brazil_Supplier_22,27.02,1592.61,8.0,4.47,39,0.773,0.818,High
23,Brazil,Brazil_Supplier_23,22.7,1300.47,2.0,4.2,35,0.819,0.639,Low
24,Brazil,Brazil_Supplier_24,20.24,,5.0,4.43,26,0.755,0.735,Low
25,Brazil,Brazil_Supplier_25,24.33,1509.94,7.0,3.54,44,0.8,0.887,Low
