supplier_id,country,supplier_name,avg_temperature_celsius,rainfall_mm_per_year,extreme_events_per_year,cost_per_unit_usd,lead_time_days,quality_score,reliability_score,climate_risk_level,predicted_climate_risk,climate_risk_score,cost_normalized,lead_time_normalized,quality_normalized,composite_score,rank
58,Colombia,Colombia_Supplier_8,18.93,1981.14,1.0,4.67,22,0.951,0.792,Low,Low,1.0,0.5276967930029155,0.9411764705882353,0.9002036659877799,0.8472590490953438,1
95,Colombia,Colombia_Supplier_45,21.68,1667.03,6.0,4.35,23,0.906,0.788,Low,Low,1.0,0.620991253644315,0.9117647058823529,0.8085539714867618,0.8448997841790193,2
89,Colombia,Colombia_Supplier_39,23.07,1819.1,2.0,4.46,21,0.872,0.802,Low,Low,1.0,0.5889212827988338,0.9705882352941176,0.7393075356415478,0.8377388866515474,3
53,Colombia,Colombia_Supplier_3,20.99,1586.92,4.0,4.57,25,0.943,1.0,Low,Low,1.0,0.5568513119533527,0.8529411764705882,0.8839103869653767,0.8292301994990605,4
30,Brazil,Brazil_Supplier_30,25.15,1366.6,6.0,3.65,25,0.778,0.738,Low,Low,1.0,0.8250728862973761,0.8529411764705882,0.5478615071283096,0.8290758171176531,5
248,Honduras,Honduras_Supplier_48,21.81,1402.1,7.0,3.82,27,0.829,0.754,Low,Low,1.0,0.7755102040816326,0.7941176470588236,0.6517311608961303,0.8227531949643401,6
37,Brazil,Brazil_Supplier_37,20.89,1394.1,2.0,3.58,27,0.782,0.717,Low,Low,1.0,0.8454810495626821,0.7941176470588236,0.5560081466395113,0.8211013034832786,7
98,Colombia,Colombia_Supplier_48,21.31,1586.99,3.0,4.99,21,0.919,0.744,Low,Low,1.0,0.43440233236151604,0.9705882352941176,0.835030549898167,0.8182537518935418,8
82,Colombia,Colombia_Supplier_32,21.6,2165.04,3.0,5.04,20,0.902,0.777,Low,Low,1.0,0.41982507288629745,1.0,0.8004073319755601,0.8150377346166864,9
57,Colombia,Colombia_Supplier_7,22.62,1687.04,3.0,4.23,29,0.914,0.684,Low,Low,1.0,0.6559766763848396,0.7352941176470589,0.8248472505091651,0.8127871486098077,10
226,Honduras,Honduras_Supplier_26,21.93,1678.43,5.0,3.74,29,0.824,0.702,Low,Low,1.0,0.7988338192419824,0.7352941176470589,0.6415478615071282,0.8118415565236861,11
217,Honduras,Honduras_Supplier_17,20.09,1303.28,4.0,4.49,31,0.991,0.798,Low,Low,1.0,0.5801749271137027,0.6764705882352942,0.9816700610997963,0.8104953910572086,12
212,Honduras,Honduras_Supplier_12,20.38,1671.47,4.0,3.7,30,0.823,0.671,Low,Low,1.0,0.8104956268221574,0.7058823529411764,0.6395112016293278,0.8069967352666991,13
27,Brazil,Brazil_Supplier_27,23.36,1198.18,2.0,3.67,25,0.726,0.987,Low,Low,1.0,0.8192419825072886,0.8529411764705882,0.44195519348268836,0.8064368284410068,14
2,Brazil,Brazil_Supplier_2,21.47,1243.39,4.0,3.94,32,0.897,0.777,Low,Low,1.0,0.7405247813411079,0.6470588235294117,0.790224032586558,0.8049407077349415,15
9,Brazil,Brazil_Supplier_9,20.86,1025.14,7.0,3.62,30,0.8,0.916,Low,Low,1.0,0.8338192419825072,0.7058823529411764,0.5926680244399186,0.8034590036189047,16
93,Colombia,Colombia_Supplier_43,22.43,1738.78,2.0,4.59,23,0.847,0.873,Low,Low,1.0,0.5510204081632654,0.9117647058823529,0.6883910386965376,0.8033744862507122,17
75,Colombia,Colombia_Supplier_25,19.33,1731.07,1.0,4.21,31,0.9,0.745,Low,Low,1.0,0.6618075801749271,0.6764705882352942,0.7963340122199594,0.7938363445465472,18
211,Honduras,Honduras_Supplier_11,24.49,1254.07,4.0,4.52,25,0.846,0.617,Low,Low,1.0,0.5714285714285716,0.8529411764705882,0.6863543788187372,0.7933633127385373,19
135,Vietnam,Vietnam_Supplier_35,23.21,1628.66,7.0,3.6,33,0.821,0.764,Low,Low,1.0,0.8396501457725947,0.6176470588235294,0.635437881873727,0.7914118775237764,20
70,Colombia,Colombia_Supplier_20,18.85,1676.39,5.0,4.03,29,0.823,0.739,Low,Low,1.0,0.7142857142857142,0.7352941176470589,0.6395112016293278,0.7902971983090588,21
223,Honduras,Honduras_Supplier_23,23.0,1543.7,6.0,3.83,31,0.795,0.757,Low,Low,1.0,0.7725947521865889,0.6764705882352942,0.5824847250509165,0.7787632801156541,22
125,Vietnam,Vietnam_Supplier_25,24.28,1890.67,4.0,3.6,41,0.933,0.823,Low,Low,1.0,0.8396501457725947,0.38235294117647056,0.8635437881873728,0.7782095293747409,23
97,Colombia,Colombia_Supplier_47,21.22,2092.94,3.0,4.26,33,0.904,0.958,Low,Low,1.0,0.6472303206997085,0.6176470588235294,0.8044806517311609,0.7771154752270417,24
88,Colombia,Colombia_Supplier_38,19.08,2067.95,2.0,4.59,33,0.963,0.842,Low,Low,1.0,0.5510204081632654,0.6176470588235294,0.9246435845213848,0.7770955836509756,25
44,Brazil,Brazil_Supplier_44,25.37,1416.25,7.0,3.54,40,0.899,0.888,Low,Low,1.0,0.8571428571428571,0.4117647058823529,0.7942973523421589,0.7760863612247343,26
28,Brazil,Brazil_Supplier_28,20.78,1393.29,5.0,3.57,32,0.756,1.0,Low,Low,1.0,0.8483965014577259,0.6470588235294117,0.5030549898167006,0.7744748292101244,27
84,Colombia,Colombia_Supplier_34,20.86,2163.67,3.0,4.52,28,0.849,0.767,Low,Low,1.0,0.5714285714285716,0.7647058823529411,0.6924643584521385,0.7725264851358058,28
74,Colombia,Colombia_Supplier_24,21.86,1908.73,1.0,4.31,30,0.841,0.853,Low,Low,1.0,0.6326530612244899,0.7058823529411764,0.6761710794297352,0.7698680694273636,29
48,Brazil,Brazil_Supplier_48,22.77,1717.43,4.0,3.75,30,0.739,0.696,Low,Low,1.0,0.7959183673469388,0.7058823529411764,0.4684317718940937,0.7691365344508475,30
83,Colombia,Colombia_Supplier_33,18.5,2103.15,2.0,4.71,30,0.907,0.675,Low,Low,1.0,0.5160349854227406,0.7058823529411764,0.8105906313645622,0.7675974608638917,31
5,Brazil,Brazil_Supplier_5,24.16,1437.37,7.0,3.79,25,0.649,0.642,Low,Low,1.0,0.7842565597667638,0.8529411764705882,0.28513238289205706,0.7663259106377494,32
