commodity,supplier_id,country,supplier_name,avg_temperature_celsius,rainfall_mm_per_year,extreme_events_per_year,cost_per_unit_usd,lead_time_days,quality_score,reliability_score,climate_risk_level,predicted_climate_risk,climate_risk_score,cost_normalized,lead_time_normalized,quality_normalized,composite_score,rank
Cocoa,22,Ivory Coast,Ivory Coast_Supplier_22,24.18,1229.88,6.0,2.92,31,1.0,0.934,Low,Low,1.0,0.8997429305912596,0.8235294117647058,1.0,0.9308180855889914,1
Cocoa,134,Indonesia,Indonesia_Supplier_34,24.1,2274.65,6.0,2.53,26,0.781,0.831,Low,Low,1.0,1.0,0.9705882352941176,0.562,0.9050470588235295,2
Cocoa,35,Ivory Coast,Ivory Coast_Supplier_35,24.67,1594.1,3.0,2.97,32,0.907,0.827,Low,Low,1.0,0.8868894601542415,0.7941176470588236,0.8140000000000001,0.8830517768032664,3
Cocoa,25,Ivory Coast,Ivory Coast_Supplier_25,26.14,1806.28,3.0,2.86,30,0.824,0.827,Low,Low,1.0,0.9151670951156812,0.8529411764705882,0.6479999999999999,0.8716270678965674,4
Cocoa,112,Indonesia,Indonesia_Supplier_12,26.85,2262.29,5.0,2.99,32,0.879,0.615,Low,Low,1.0,0.8817480719794344,0.7941176470588236,0.758,0.8705664297595646,5
Cocoa,28,Ivory Coast,Ivory Coast_Supplier_28,27.86,1566.6,6.0,2.94,30,0.808,0.688,Low,Low,1.0,0.8946015424164524,0.8529411764705882,0.6160000000000001,0.8600856797217602,6
Cocoa,99,Ghana,Ghana_Supplier_49,24.27,1062.86,5.0,3.25,37,0.96,0.892,Low,Low,1.0,0.8149100257069408,0.6470588235294117,0.9199999999999999,0.8494922123090882,7
Cocoa,9,Ivory Coast,Ivory Coast_Supplier_9,25.89,1606.86,5.0,3.21,33,0.872,0.783,Low,Low,1.0,0.8251928020565552,0.7647058823529411,0.744,0.8462746711023741,8
Cocoa,244,Cameroon,Cameroon_Supplier_44,26.49,1807.45,6.0,3.46,30,0.848,0.822,Low,Low,1.0,0.7609254498714653,0.8529411764705882,0.696,0.8426666565855134,9
Cocoa,145,Indonesia,Indonesia_Supplier_45,26.59,1658.91,6.0,2.92,30,0.756,0.678,Low,Low,1.0,0.8997429305912596,0.8529411764705882,0.512,0.840571026765462,10
Cocoa,248,Cameroon,Cameroon_Supplier_48,26.15,1644.38,5.0,4.47,31,1.0,0.619,Low,Low,1.0,0.5012853470437018,0.8235294117647058,1.0,0.831203689702102,11
Cocoa,115,Indonesia,Indonesia_Supplier_15,23.46,2427.03,5.0,2.93,31,0.738,0.839,Low,Low,1.0,0.8971722365038559,0.8235294117647058,0.476,0.8253754120671404,12
Cocoa,32,Ivory Coast,Ivory Coast_Supplier_32,27.79,1558.76,7.0,2.88,40,0.878,0.735,Low,Low,1.0,0.910025706940874,0.5588235294117647,0.756,0.8184123090881597,13
Cocoa,33,Ivory Coast,Ivory Coast_Supplier_33,26.11,1293.65,4.0,3.78,31,0.836,0.837,Low,Low,1.0,0.6786632390745502,0.8235294117647058,0.6719999999999999,0.809948162709814,14
Cocoa,120,Indonesia,Indonesia_Supplier_20,22.48,1585.66,5.0,3.28,26,0.658,0.77,Low,Low,1.0,0.8071979434447301,0.9705882352941176,0.31600000000000006,0.8076465446847119,15
Cocoa,45,Ivory Coast,Ivory Coast_Supplier_45,26.07,1917.43,4.0,3.04,35,0.769,0.646,Low,Low,1.0,0.8688946015424164,0.7058823529411764,0.538,0.8012942386208981,16
Cocoa,131,Indonesia,Indonesia_Supplier_31,25.29,1954.38,7.0,3.09,34,0.748,0.721,Low,Low,1.0,0.8560411311053985,0.7352941176470589,0.496,0.7970338121881143,17
Cocoa,123,Indonesia,Indonesia_Supplier_23,25.13,2123.59,6.0,2.95,30,0.65,0.676,Low,Low,1.0,0.8920308483290488,0.8529411764705882,0.30000000000000004,0.7962430061999093,18
Cocoa,240,Cameroon,Cameroon_Supplier_40,22.38,2077.32,3.0,4.0,31,0.829,0.728,Low,Low,1.0,0.6221079691516709,0.8235294117647058,0.6579999999999999,0.7930093452290942,19
Cocoa,50,Ivory Coast,Ivory Coast_Supplier_50,27.42,1484.88,4.0,3.14,33,0.721,0.664,Low,Low,1.0,0.8431876606683804,0.7647058823529411,0.44199999999999995,0.7903733857553303,20
Cocoa,44,Ivory Coast,Ivory Coast_Supplier_44,25.55,1567.31,5.0,2.98,32,0.67,0.799,Low,Low,1.0,0.884318766066838,0.7941176470588236,0.3400000000000001,0.7876091032814154,21
Cocoa,139,Indonesia,Indonesia_Supplier_39,23.22,2055.08,6.0,3.64,25,0.642,0.765,Low,Low,1.0,0.7146529562982005,1.0,0.28400000000000003,0.7854632390745502,22
Cocoa,92,Ghana,Ghana_Supplier_42,24.2,1017.7,7.0,3.68,38,0.885,0.899,Low,Low,1.0,0.704370179948586,0.6176470588235294,0.77,0.7845043096930289,23
Cocoa,26,Ivory Coast,Ivory Coast_Supplier_26,26.85,1278.27,7.0,3.32,42,0.896,0.762,Low,Low,1.0,0.7969151670951157,0.5,0.792,0.7826287917737789,24
Cocoa,48,Ivory Coast,Ivory Coast_Supplier_48,27.07,1625.69,4.0,3.33,30,0.674,0.685,Low,Low,1.0,0.794344473007712,0.8529411764705882,0.3480000000000001,0.7814214123695751,25
Cocoa,235,Cameroon,Cameroon_Supplier_35,23.13,1970.72,3.0,3.89,31,0.782,0.749,Low,Low,1.0,0.6503856041131104,0.8235294117647058,0.5640000000000001,0.7812787539694541,26
Cocoa,65,Ghana,Ghana_Supplier_15,24.68,1797.5,4.0,4.35,39,1.0,0.689,Low,Low,1.0,0.532133676092545,0.5882352941176471,1.0,0.780092242552548,27
Cocoa,118,Indonesia,Indonesia_Supplier_18,26.68,1774.81,10.0,2.64,25,0.842,0.862,Medium,Medium,0.5,0.9717223650385604,1.0,0.6839999999999999,0.7797305912596402,28
Cocoa,218,Cameroon,Cameroon_Supplier_18,25.94,1668.28,5.0,3.26,33,0.709,0.799,Low,Low,1.0,0.8123393316195373,0.7647058823529411,0.4179999999999999,0.7778613034931197,29
Cocoa,205,Cameroon,Cameroon_Supplier_5,22.35,1578.06,4.0,3.74,30,0.727,0.631,Low,Low,1.0,0.6889460154241644,0.8529411764705882,0.45399999999999996,0.7762717979736882,30
Cocoa,62,Ghana,Ghana_Supplier_12,27.19,1043.81,2.0,3.5,42,0.902,0.807,Low,Low,1.0,0.7506426735218509,0.5,0.804,0.7734606683804628,31
Cocoa,63,Ghana,Ghana_Supplier_13,26.77,1277.56,4.0,3.26,44,0.9,0.784,Low,Low,1.0,0.8123393316195373,0.4411764705882353,0.8,0.7733789505519432,32
Cocoa,36,Ivory Coast,Ivory Coast_Supplier_36,27.5,1969.74,5.0,4.16,30,0.787,0.848,Low,Low,1.0,0.5809768637532133,0.8529411764705882,0.5740000000000001,0.7732795100559504,33
Cocoa,231,Cameroon,Cameroon_Supplier_31,27.82,1579.31,7.0,3.97,35,0.845,0.601,Low,Low,1.0,0.6298200514138816,0.7058823529411764,0.69,0.7719256010887645,34
Cocoa,237,Cameroon,Cameroon_Supplier_37,23.2,2114.23,3.0,3.63,34,0.743,0.658,Low,Low,1.0,0.7172236503856041,0.7352941176470589,0.486,0.7603294420081658,35
Cocoa,133,Indonesia,Indonesia_Supplier_33,25.68,1566.65,6.0,3.57,26,0.585,0.603,Low,Low,1.0,0.7326478149100257,0.9705882352941176,0.16999999999999993,0.7598090125510358,36
Cocoa,106,Indonesia,Indonesia_Supplier_6,23.42,1573.5,8.0,2.75,25,0.805,0.822,Medium,Medium,0.5,0.9434447300771208,1.0,0.6100000000000001,0.7578611825192803,37
Cocoa,150,Indonesia,Indonesia_Supplier_50,24.47,2150.97,5.0,3.68,29,0.649,0.649,Low,Low,1.0,0.704370179948586,0.8823529411764706,0.29800000000000004,0.7562807802812641,38
Cocoa,146,Indonesia,Indonesia_Supplier_46,23.5,1771.95,5.0,2.59,43,0.73,0.587,Low,Low,1.0,0.9845758354755784,0.47058823529411764,0.45999999999999996,0.7557910176924241,39
Cocoa,127,Indonesia,Indonesia_Supplier_27,23.87,2006.14,7.0,3.67,34,0.735,0.666,Low,Low,1.0,0.7069408740359897,0.7352941176470589,0.47,0.754558747920762,40
Cocoa,114,Indonesia,Indonesia_Supplier_14,22.15,1841.25,9.0,2.79,25,0.796,0.728,Medium,Medium,0.5,0.9331619537275063,1.0,0.5920000000000001,0.7516904884318767,41
Cocoa,93,Ghana,Ghana_Supplier_43,25.77,1065.9,7.0,3.96,42,0.91,0.779,Low,Low,1.0,0.6323907455012854,0.5,0.8200000000000001,0.7470976863753214,42
Cocoa,224,Cameroon,Cameroon_Supplier_24,25.54,1962.71,7.0,3.62,42,0.855,0.63,Low,Low,1.0,0.7197943444730077,0.5,0.71,0.7469485861182519,43
Cocoa,132,Indonesia,Indonesia_Supplier_32,27.73,2286.9,7.0,3.46,38,0.748,0.78,Low,Low,1.0,0.7609254498714653,0.6176470588235294,0.496,0.7438431271737487,44
Cocoa,102,Indonesia,Indonesia_Supplier_2,26.74,2158.71,9.0,2.55,30,0.829,0.689,Medium,Medium,0.5,0.9948586118251928,0.8529411764705882,0.6579999999999999,0.7435499470739452,45
Cocoa,100,Ghana,Ghana_Supplier_50,24.25,1748.97,6.0,4.22,36,0.831,0.895,Low,Low,1.0,0.5655526992287918,0.6764705882352942,0.6619999999999999,0.7429058218660214,46
Cocoa,116,Indonesia,Indonesia_Supplier_16,23.87,2110.33,6.0,3.29,39,0.736,0.606,Low,Low,1.0,0.8046272493573264,0.5882352941176471,0.472,0.7426156358687434,47
Cocoa,76,Ghana,Ghana_Supplier_26,24.25,1209.81,4.0,4.16,37,0.838,0.767,Low,Low,1.0,0.5809768637532133,0.6470588235294117,0.6759999999999999,0.7422089218206562,48
Cocoa,137,Indonesia,Indonesia_Supplier_37,23.72,2315.95,12.0,2.75,27,0.801,0.758,Medium,Medium,0.5,0.9434447300771208,0.9411764705882353,0.6020000000000001,0.7415553001663391,49
Cocoa,14,Ivory Coast,Ivory Coast_Supplier_14,24.24,1672.71,3.0,3.7,33,0.688,0.905,Low,Low,1.0,0.6992287917737788,0.7647058823529411,0.3759999999999999,0.7411836685316799,50
Cocoa,23,Ivory Coast,Ivory Coast_Supplier_23,27.82,1780.87,6.0,2.84,49,0.83,0.837,Low,Low,1.0,0.9203084832904884,0.2941176470588235,0.6599999999999999,0.735606532587328,51
Cocoa,107,Indonesia,Indonesia_Supplier_7,24.85,2344.17,6.0,3.3,43,0.793,0.692,Low,Low,1.0,0.8020565552699229,0.47058823529411764,0.5860000000000001,0.7353611976410102,52
Cocoa,2,Ivory Coast,Ivory Coast_Supplier_2,25.1,1443.39,5.0,3.31,39,0.717,0.81,Low,Low,1.0,0.7994858611825192,0.5882352941176471,0.43399999999999994,0.7337302888250415,53
Cocoa,210,Cameroon,Cameroon_Supplier_10,27.75,2159.91,7.0,3.43,42,0.789,0.871,Low,Low,1.0,0.768637532133676,0.5,0.5780000000000001,0.732759383033419,54
Cocoa,82,Ghana,Ghana_Supplier_32,26.3,1237.05,2.0,4.48,43,0.975,0.7,Low,Low,1.0,0.498714652956298,0.47058823529411764,0.95,0.7323257220626038,55
Cocoa,208,Cameroon,Cameroon_Supplier_8,22.11,1705.32,4.0,3.68,42,0.817,0.798,Low,Low,1.0,0.704370179948586,0.5,0.6339999999999999,0.7278925449871465,56
Cocoa,40,Ivory Coast,Ivory Coast_Supplier_40,26.29,1975.93,5.0,4.01,46,0.932,0.781,Low,Low,1.0,0.6195372750642674,0.38235294117647056,0.8640000000000001,0.7232725540601845,57
Cocoa,29,Ivory Coast,Ivory Coast_Supplier_29,24.43,1455.18,4.0,3.78,42,0.816,0.808,Low,Low,1.0,0.6786632390745502,0.5,0.6319999999999999,0.7210658097686375,58
Cocoa,126,Indonesia,Indonesia_Supplier_26,22.88,1867.53,4.0,3.94,35,0.713,0.749,Low,Low,1.0,0.6375321336760925,0.7058823529411764,0.42599999999999993,0.7210536216543172,59
Cocoa,69,Ghana,Ghana_Supplier_19,27.18,1534.47,3.0,3.13,39,0.653,0.976,Low,Low,1.0,0.8457583547557841,0.5882352941176471,0.30600000000000005,0.7196984122183578,60
Cocoa,128,Indonesia,Indonesia_Supplier_28,27.9,1739.18,5.0,3.26,44,0.764,0.819,Low,Low,1.0,0.8123393316195373,0.4411764705882353,0.528,0.7189789505519432,61
Cocoa,136,Indonesia,Indonesia_Supplier_36,26.87,2156.48,9.0,2.68,28,0.751,0.782,Medium,Medium,0.5,0.961439588688946,0.9117647058823529,0.502,0.7187010736428248,62
Cocoa,147,Indonesia,Indonesia_Supplier_47,24.47,1847.34,7.0,2.89,39,0.609,0.757,Low,Low,1.0,0.9074550128534704,0.5882352941176471,0.21799999999999997,0.7175225767427793,63
