commodity,supplier_id,country,supplier_name,avg_temperature_celsius,rainfall_mm_per_year,extreme_events_per_year,cost_per_unit_usd,lead_time_days,quality_score,reliability_score,climate_risk_level,predicted_climate_risk,climate_risk_score,cost_normalized,lead_time_normalized,quality_normalized,composite_score,rank
Palm Oil,98,Malaysia,Malaysia_Supplier_48,24.27,2078.58,5.0,0.75,27,0.96,0.892,Low,Low,1.0,0.6818181818181819,0.9696969696969697,0.9199999999999999,0.8968787878787878,1
Palm Oil,21,Indonesia,Indonesia_Supplier_21,24.18,2056.02,7.0,0.67,40,0.994,0.813,Low,Low,1.0,0.8636363636363635,0.5757575757575757,0.988,0.8574484848484849,2
Palm Oil,143,Thailand,Thailand_Supplier_43,27.68,2042.0,7.0,0.73,30,0.881,0.838,Low,Low,1.0,0.7272727272727273,0.8787878787878788,0.762,0.8539151515151515,3
Palm Oil,27,Indonesia,Indonesia_Supplier_27,27.86,2687.38,7.0,0.66,31,0.731,0.771,Low,Low,1.0,0.8863636363636362,0.8484848484848485,0.46199999999999997,0.8261121212121212,4
Palm Oil,8,Indonesia,Indonesia_Supplier_8,25.89,2762.86,5.0,0.74,33,0.872,0.783,Low,Low,1.0,0.7045454545454546,0.7878787878787878,0.744,0.8219060606060606,5
Palm Oil,133,Thailand,Thailand_Supplier_33,27.31,2027.54,3.0,0.82,28,0.886,0.7,Low,Low,1.0,0.5227272727272729,0.9393939393939394,0.772,0.8199303030303031,6
Palm Oil,62,Malaysia,Malaysia_Supplier_12,26.77,2346.95,4.0,0.75,34,0.9,0.784,Low,Low,1.0,0.6818181818181819,0.7575757575757576,0.8,0.8198484848484848,7
Palm Oil,15,Indonesia,Indonesia_Supplier_15,27.85,2126.21,3.0,0.68,43,0.967,0.797,Low,Low,1.0,0.8409090909090908,0.48484848484848486,0.9339999999999999,0.8182393939393939,8
Palm Oil,31,Indonesia,Indonesia_Supplier_31,27.79,2672.67,7.0,0.67,40,0.878,0.735,Low,Low,1.0,0.8636363636363635,0.5757575757575757,0.756,0.8110484848484849,9
Palm Oil,219,Nigeria,Nigeria_Supplier_19,24.07,1664.14,7.0,0.73,40,0.96,0.675,Low,Low,1.0,0.7272727272727273,0.5757575757575757,0.9199999999999999,0.8097575757575757,10
Palm Oil,131,Thailand,Thailand_Supplier_31,24.47,2194.87,4.0,0.72,34,0.83,0.717,Low,Low,1.0,0.75,0.7575757575757576,0.6599999999999999,0.8088939393939394,11
Palm Oil,91,Malaysia,Malaysia_Supplier_41,24.2,2022.12,7.0,0.84,28,0.885,0.899,Low,Low,1.0,0.4772727272727274,0.9393939393939394,0.77,0.8081666666666667,12
Palm Oil,61,Malaysia,Malaysia_Supplier_11,27.19,2054.76,2.0,0.8,32,0.902,0.807,Low,Low,1.0,0.5681818181818181,0.8181818181818181,0.804,0.807390909090909,13
Palm Oil,113,Thailand,Thailand_Supplier_13,27.17,1895.47,4.0,0.7,40,0.909,0.933,Low,Low,1.0,0.7954545454545455,0.5757575757575757,0.8180000000000001,0.8064030303030303,14
Palm Oil,221,Nigeria,Nigeria_Supplier_21,26.87,2053.62,5.0,0.61,40,0.771,0.681,Low,Low,1.0,1.0,0.5757575757575757,0.542,0.8023393939393939,15
Palm Oil,51,Malaysia,Malaysia_Supplier_1,26.24,2769.49,4.0,0.73,37,0.884,0.771,Low,Low,1.0,0.7272727272727273,0.6666666666666667,0.768,0.8020848484848486,16
Palm Oil,114,Thailand,Thailand_Supplier_14,27.71,1579.79,4.0,0.79,35,0.902,1.0,Low,Low,1.0,0.5909090909090908,0.7272727272727273,0.804,0.7903454545454545,17
Palm Oil,44,Indonesia,Indonesia_Supplier_44,25.09,2518.5,5.0,0.7,35,0.769,0.646,Low,Low,1.0,0.7954545454545455,0.7272727272727273,0.538,0.7882818181818183,18
Palm Oil,164,Colombia,Colombia_Supplier_14,24.51,2484.11,5.0,0.72,46,1.0,0.842,Low,Low,1.0,0.75,0.3939393939393939,1.0,0.7859848484848485,19
Palm Oil,159,Colombia,Colombia_Supplier_9,25.08,2306.4,3.0,0.81,38,0.966,0.743,Low,Low,1.0,0.5454545454545454,0.6363636363636364,0.9319999999999999,0.7818545454545454,20
Palm Oil,49,Indonesia,Indonesia_Supplier_49,27.42,2534.15,5.0,0.7,33,0.697,0.695,Low,Low,1.0,0.7954545454545455,0.7878787878787878,0.3939999999999999,0.7746333333333333,21
Palm Oil,68,Malaysia,Malaysia_Supplier_18,27.18,2668.09,3.0,0.73,29,0.653,0.976,Low,Low,1.0,0.7272727272727273,0.9090909090909091,0.30600000000000005,0.7702909090909091,22
Palm Oil,209,Nigeria,Nigeria_Supplier_9,24.89,1870.62,4.0,0.61,42,0.728,0.5,Low,Low,1.0,1.0,0.5151515151515151,0.45599999999999996,0.7699878787878788,23
Palm Oil,52,Malaysia,Malaysia_Supplier_2,25.23,2481.14,3.0,0.72,44,0.921,0.742,Low,Low,1.0,0.75,0.4545454545454546,0.8420000000000001,0.7695363636363637,24
Palm Oil,92,Malaysia,Malaysia_Supplier_42,25.77,2082.38,7.0,0.89,32,0.91,0.779,Low,Low,1.0,0.36363636363636365,0.8181818181818181,0.8200000000000001,0.7594545454545454,25
Palm Oil,250,Nigeria,Nigeria_Supplier_50,25.65,1709.42,4.0,0.84,41,1.0,0.589,Low,Low,1.0,0.4772727272727274,0.5454545454545454,1.0,0.7556818181818182,26
Palm Oil,32,Indonesia,Indonesia_Supplier_32,26.11,2175.6,4.0,0.86,31,0.836,0.837,Low,Low,1.0,0.4318181818181819,0.8484848484848485,0.6719999999999999,0.7544757575757575,27
Palm Oil,25,Indonesia,Indonesia_Supplier_25,26.95,2710.21,5.0,0.76,42,0.896,0.751,Low,Low,1.0,0.6590909090909091,0.5151515151515151,0.792,0.7519606060606061,28
Palm Oil,67,Malaysia,Malaysia_Supplier_17,24.16,2104.11,4.0,0.77,39,0.843,0.825,Low,Low,1.0,0.6363636363636364,0.6060606060606061,0.6859999999999999,0.7478060606060606,29
Palm Oil,120,Thailand,Thailand_Supplier_20,29.34,1295.54,6.0,0.71,28,0.922,0.942,Medium,Medium,0.5,0.7727272727272728,0.9393939393939394,0.8440000000000001,0.7468303030303032,30
Palm Oil,75,Malaysia,Malaysia_Supplier_25,24.25,2262.26,4.0,0.93,27,0.838,0.767,Low,Low,1.0,0.2727272727272727,0.9696969696969697,0.6759999999999999,0.7458060606060606,31
Palm Oil,184,Colombia,Colombia_Supplier_34,26.34,1620.56,3.0,0.72,43,0.837,0.632,Low,Low,1.0,0.75,0.48484848484848486,0.6739999999999999,0.7435121212121212,32
Palm Oil,168,Colombia,Colombia_Supplier_18,23.05,2355.74,5.0,0.82,39,0.901,0.838,Low,Low,1.0,0.5227272727272729,0.6060606060606061,0.802,0.7425969696969696,33
Palm Oil,181,Colombia,Colombia_Supplier_31,25.65,1809.37,3.0,0.93,36,1.0,0.91,Low,Low,1.0,0.2727272727272727,0.696969696969697,1.0,0.7424242424242424,34
Palm Oil,189,Colombia,Colombia_Supplier_39,24.91,1527.54,3.0,0.73,42,0.824,0.98,Low,Low,1.0,0.7272727272727273,0.5151515151515151,0.6479999999999999,0.7402060606060605,35
Palm Oil,150,Thailand,Thailand_Supplier_50,27.37,1836.18,7.0,0.79,34,0.747,0.857,Low,Low,1.0,0.5909090909090908,0.7575757575757576,0.494,0.7359212121212121,36
Palm Oil,160,Colombia,Colombia_Supplier_10,25.12,1704.88,7.0,0.74,44,0.858,0.908,Low,Low,1.0,0.7045454545454546,0.4545454545454546,0.716,0.7329727272727273,37
Palm Oil,238,Nigeria,Nigeria_Supplier_38,25.51,2074.2,3.0,0.73,41,0.782,0.719,Low,Low,1.0,0.7272727272727273,0.5454545454545454,0.5640000000000001,0.7309818181818182,38
Palm Oil,247,Nigeria,Nigeria_Supplier_47,25.29,1308.62,3.0,0.71,42,0.761,0.547,Low,Low,1.0,0.7727272727272728,0.5151515151515151,0.522,0.726369696969697,39
Palm Oil,95,Malaysia,Malaysia_Supplier_45,24.94,2125.19,4.0,0.87,30,0.757,0.9,Low,Low,1.0,0.40909090909090917,0.8787878787878788,0.514,0.7247696969696971,40
Palm Oil,166,Colombia,Colombia_Supplier_16,24.97,2328.25,4.0,0.8,37,0.784,0.617,Low,Low,1.0,0.5681818181818181,0.6666666666666667,0.5680000000000001,0.7223121212121213,41
Palm Oil,65,Malaysia,Malaysia_Supplier_15,24.53,2775.53,5.0,0.75,42,0.805,0.853,Low,Low,1.0,0.6818181818181819,0.5151515151515151,0.6100000000000001,0.7212424242424242,42
Palm Oil,199,Colombia,Colombia_Supplier_49,22.09,2237.87,7.0,0.75,44,0.834,0.746,Low,Low,1.0,0.6818181818181819,0.4545454545454546,0.6679999999999999,0.7176909090909092,43
Palm Oil,81,Malaysia,Malaysia_Supplier_31,26.3,2296.31,2.0,1.0,33,0.975,0.7,Low,Low,1.0,0.11363636363636376,0.7878787878787878,0.95,0.7153787878787878,44
Palm Oil,186,Colombia,Colombia_Supplier_36,26.04,1775.38,7.0,0.91,42,1.0,0.898,Low,Low,1.0,0.3181818181818181,0.5151515151515151,1.0,0.7083333333333333,45
Palm Oil,161,Colombia,Colombia_Supplier_11,24.99,1605.47,6.0,0.81,50,1.0,0.928,Low,Low,1.0,0.5454545454545454,0.2727272727272727,1.0,0.7045454545454546,46
Palm Oil,48,Indonesia,Indonesia_Supplier_48,25.96,2179.64,9.0,0.69,35,0.92,0.619,Medium,Medium,0.5,0.8181818181818183,0.7272727272727273,0.8400000000000001,0.7043636363636364,47
Palm Oil,40,Indonesia,Indonesia_Supplier_40,26.7,2193.74,7.0,0.81,45,0.898,0.757,Low,Low,1.0,0.5454545454545454,0.4242424242424242,0.796,0.7016242424242425,48
Palm Oil,63,Malaysia,Malaysia_Supplier_13,26.9,2580.59,2.0,0.75,44,0.793,0.689,Low,Low,1.0,0.6818181818181819,0.4545454545454546,0.5860000000000001,0.7012909090909092,49
