commodity,supplier_id,country,supplier_name,avg_temperature_celsius,rainfall_mm_per_year,extreme_events_per_year,cost_per_unit_usd,lead_time_days,quality_score,reliability_score,climate_risk_level,predicted_climate_risk,climate_risk_score,cost_normalized,lead_time_normalized,quality_normalized,composite_score,rank
Rice,95,India,India_Supplier_45,22.58,1392.49,7.0,0.32,34,1.0,0.798,Low,Low,1.0,0.875,0.6896551724137931,1.0,0.8911637931034484,1
Rice,30,China,China_Supplier_30,24.43,1166.6,6.0,0.37,25,0.848,0.768,Low,Low,1.0,0.71875,1.0,0.6772823779193206,0.8651439755838641,2
Rice,17,China,China_Supplier_17,26.87,1423.9,4.0,0.35,27,0.837,0.708,Low,Low,1.0,0.7812500000000001,0.9310344827586207,0.6539278131634818,0.8588566833223517,3
Rice,37,China,China_Supplier_37,19.11,1194.1,2.0,0.36,27,0.852,0.747,Low,Low,1.0,0.7500000000000001,0.9310344827586207,0.6857749469214437,0.857413610073944,4
Rice,141,Thailand,Thailand_Supplier_41,27.68,2042.0,7.0,0.43,26,0.931,0.878,Low,Low,1.0,0.53125,0.9655172413793104,0.8535031847133759,0.8448924472875028,5
Rice,27,China,China_Supplier_27,22.2,998.18,2.0,0.37,25,0.796,0.803,Low,Low,1.0,0.71875,1.0,0.5668789808917198,0.843063296178344,6
Rice,9,China,China_Supplier_9,19.08,825.14,7.0,0.37,30,0.87,0.946,Low,Low,1.0,0.71875,0.8275862068965517,0.7239915074309978,0.8313823532103375,7
Rice,2,China,China_Supplier_2,19.83,1043.39,4.0,0.41,32,0.967,0.807,Low,Low,1.0,0.5937500000000001,0.7586206896551724,0.929936305732484,0.82407993356029,8
Rice,68,India,India_Supplier_18,25.53,1400.76,7.0,0.38,30,0.829,0.723,Low,Low,1.0,0.6875,0.8275862068965517,0.6369426751592355,0.806160086755985,9
Rice,129,Thailand,Thailand_Supplier_29,24.47,2194.87,4.0,0.42,29,0.88,0.757,Low,Low,1.0,0.5625,0.8620689655172413,0.7452229299363057,0.8051868273665714,10
Rice,111,Thailand,Thailand_Supplier_11,27.17,1895.47,4.0,0.41,34,0.959,0.973,Low,Low,1.0,0.5937500000000001,0.6896551724137931,0.9129511677282377,0.8034415266490957,11
Rice,28,China,China_Supplier_28,18.98,1193.29,5.0,0.36,32,0.826,1.0,Low,Low,1.0,0.7500000000000001,0.7586206896551724,0.6305732484076432,0.8032698220953218,12
Rice,131,Thailand,Thailand_Supplier_31,27.31,2027.54,3.0,0.5,25,0.936,0.74,Low,Low,1.0,0.3125,1.0,0.8641188959660299,0.800948779193206,13
